Regions code,Regions label,Region of workplace code,Region of workplace label,Place of work indicator (4 categories) code,Place of work indicator (4 categories) label,Count
E12000001,North East,-8,Does not apply,-8,Does not apply,1040904
E12000001,North East,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",6852
E12000001,North East,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",3763
E12000001,North East,E12000001,North East,1,"Mainly working at or from home, No fixed place",431779
E12000001,North East,E12000001,North East,3,Working in the UK but not working at or from home,667497
E12000001,North East,E12000002,North West,3,Working in the UK but not working at or from home,2838
E12000001,North East,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,14424
E12000001,North East,E12000004,East Midlands,3,Working in the UK but not working at or from home,1075
E12000001,North East,E12000005,West Midlands,3,Working in the UK but not working at or from home,1288
E12000001,North East,E12000006,East of England,3,Working in the UK but not working at or from home,1285
E12000001,North East,E12000007,London,3,Working in the UK but not working at or from home,1420
E12000001,North East,E12000008,South East,3,Working in the UK but not working at or from home,1889
E12000001,North East,E12000009,South West,3,Working in the UK but not working at or from home,1437
E12000001,North East,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,61
E12000001,North East,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,2168
E12000001,North East,W92000004,Wales,3,Working in the UK but not working at or from home,281
E12000002,North West,-8,Does not apply,-8,Does not apply,2683890
E12000002,North West,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",3933
E12000002,North West,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",7007
E12000002,North West,E12000001,North East,3,Working in the UK but not working at or from home,1341
E12000002,North West,E12000002,North West,1,"Mainly working at or from home, No fixed place",1366528
E12000002,North West,E12000002,North West,3,Working in the UK but not working at or from home,1896237
E12000002,North West,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,14280
E12000002,North West,E12000004,East Midlands,3,Working in the UK but not working at or from home,6258
E12000002,North West,E12000005,West Midlands,3,Working in the UK but not working at or from home,14296
E12000002,North West,E12000006,East of England,3,Working in the UK but not working at or from home,2996
E12000002,North West,E12000007,London,3,Working in the UK but not working at or from home,3933
E12000002,North West,E12000008,South East,3,Working in the UK but not working at or from home,4232
E12000002,North West,E12000009,South West,3,Working in the UK but not working at or from home,3286
E12000002,North West,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,235
E12000002,North West,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,1998
E12000002,North West,W92000004,Wales,3,Working in the UK but not working at or from home,15185
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,1998930
E12000003,Yorkshire and The Humber,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",3214
E12000003,Yorkshire and The Humber,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",4621
E12000003,Yorkshire and The Humber,E12000001,North East,3,Working in the UK but not working at or from home,8236
E12000003,Yorkshire and The Humber,E12000002,North West,3,Working in the UK but not working at or from home,14011
E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,1,"Mainly working at or from home, No fixed place",979054
E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,1410998
E12000003,Yorkshire and The Humber,E12000004,East Midlands,3,Working in the UK but not working at or from home,26359
E12000003,Yorkshire and The Humber,E12000005,West Midlands,3,Working in the UK but not working at or from home,2745
E12000003,Yorkshire and The Humber,E12000006,East of England,3,Working in the UK but not working at or from home,2608
E12000003,Yorkshire and The Humber,E12000007,London,3,Working in the UK but not working at or from home,2716
E12000003,Yorkshire and The Humber,E12000008,South East,3,Working in the UK but not working at or from home,3142
E12000003,Yorkshire and The Humber,E12000009,South West,3,Working in the UK but not working at or from home,2246
E12000003,Yorkshire and The Humber,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,65
E12000003,Yorkshire and The Humber,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,848
E12000003,Yorkshire and The Humber,W92000004,Wales,3,Working in the UK but not working at or from home,506
E12000004,East Midlands,-8,Does not apply,-8,Does not apply,1725721
E12000004,East Midlands,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",1204
E12000004,East Midlands,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",4915
E12000004,East Midlands,E12000001,North East,3,Working in the UK but not working at or from home,449
E12000004,East Midlands,E12000002,North West,3,Working in the UK but not working at or from home,10423
E12000004,East Midlands,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,34264
E12000004,East Midlands,E12000004,East Midlands,1,"Mainly working at or from home, No fixed place",896300
E12000004,East Midlands,E12000004,East Midlands,3,Working in the UK but not working at or from home,1225892
E12000004,East Midlands,E12000005,West Midlands,3,Working in the UK but not working at or from home,39152
E12000004,East Midlands,E12000006,East of England,3,Working in the UK but not working at or from home,28413
E12000004,East Midlands,E12000007,London,3,Working in the UK but not working at or from home,6175
E12000004,East Midlands,E12000008,South East,3,Working in the UK but not working at or from home,21435
E12000004,East Midlands,E12000009,South West,3,Working in the UK but not working at or from home,2566
E12000004,East Midlands,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,69
E12000004,East Midlands,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,625
E12000004,East Midlands,W92000004,Wales,3,Working in the UK but not working at or from home,441
E12000005,West Midlands,-8,Does not apply,-8,Does not apply,2162440
E12000005,West Midlands,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",992
E12000005,West Midlands,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",4709
E12000005,West Midlands,E12000001,North East,3,Working in the UK but not working at or from home,413
E12000005,West Midlands,E12000002,North West,3,Working in the UK but not working at or from home,16539
E12000005,West Midlands,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,2174
E12000005,West Midlands,E12000004,East Midlands,3,Working in the UK but not working at or from home,41873
E12000005,West Midlands,E12000005,West Midlands,1,"Mainly working at or from home, No fixed place",1044805
E12000005,West Midlands,E12000005,West Midlands,3,Working in the UK but not working at or from home,1485733
E12000005,West Midlands,E12000006,East of England,3,Working in the UK but not working at or from home,3496
E12000005,West Midlands,E12000007,London,3,Working in the UK but not working at or from home,5651
E12000005,West Midlands,E12000008,South East,3,Working in the UK but not working at or from home,10116
E12000005,West Midlands,E12000009,South West,3,Working in the UK but not working at or from home,14522
E12000005,West Midlands,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,63
E12000005,West Midlands,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,652
E12000005,West Midlands,W92000004,Wales,3,Working in the UK but not working at or from home,7155
E12000006,East of England,-8,Does not apply,-8,Does not apply,2119643
E12000006,East of England,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",3241
E12000006,East of England,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",6191
E12000006,East of England,E12000001,North East,3,Working in the UK but not working at or from home,246
E12000006,East of England,E12000002,North West,3,Working in the UK but not working at or from home,1195
E12000006,East of England,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,1384
E12000006,East of England,E12000004,East Midlands,3,Working in the UK but not working at or from home,14428
E12000006,East of England,E12000005,West Midlands,3,Working in the UK but not working at or from home,2494
E12000006,East of England,E12000006,East of England,1,"Mainly working at or from home, No fixed place",1426497
E12000006,East of England,E12000006,East of England,3,Working in the UK but not working at or from home,1397872
E12000006,East of England,E12000007,London,3,Working in the UK but not working at or from home,141416
E12000006,East of England,E12000008,South East,3,Working in the UK but not working at or from home,30549
E12000006,East of England,E12000009,South West,3,Working in the UK but not working at or from home,2278
E12000006,East of England,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,52
E12000006,East of England,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,464
E12000006,East of England,W92000004,Wales,3,Working in the UK but not working at or from home,333
E12000007,London,-8,Does not apply,-8,Does not apply,2743908
E12000007,London,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",2101
E12000007,London,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",13248
E12000007,London,E12000001,North East,3,Working in the UK but not working at or from home,506
E12000007,London,E12000002,North West,3,Working in the UK but not working at or from home,2413
E12000007,London,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,1673
E12000007,London,E12000004,East Midlands,3,Working in the UK but not working at or from home,2531
E12000007,London,E12000005,West Midlands,3,Working in the UK but not working at or from home,3883
E12000007,London,E12000006,East of England,3,Working in the UK but not working at or from home,69049
E12000007,London,E12000007,London,1,"Mainly working at or from home, No fixed place",2436675
E12000007,London,E12000007,London,3,Working in the UK but not working at or from home,1732914
E12000007,London,E12000008,South East,3,Working in the UK but not working at or from home,89626
E12000007,London,E12000009,South West,3,Working in the UK but not working at or from home,4104
E12000007,London,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,73
E12000007,London,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,604
E12000007,London,W92000004,Wales,3,Working in the UK but not working at or from home,677
E12000008,South East,-8,Does not apply,-8,Does not apply,3082801
E12000008,South East,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",2818
E12000008,South East,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",10918
E12000008,South East,E12000001,North East,3,Working in the UK but not working at or from home,332
E12000008,South East,E12000002,North West,3,Working in the UK but not working at or from home,1579
E12000008,South East,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,1507
E12000008,South East,E12000004,East Midlands,3,Working in the UK but not working at or from home,8280
E12000008,South East,E12000005,West Midlands,3,Working in the UK but not working at or from home,5191
E12000008,South East,E12000006,East of England,3,Working in the UK but not working at or from home,28360
E12000008,South East,E12000007,London,3,Working in the UK but not working at or from home,172332
E12000008,South East,E12000008,South East,1,"Mainly working at or from home, No fixed place",2251957
E12000008,South East,E12000008,South East,3,Working in the UK but not working at or from home,1964441
E12000008,South East,E12000009,South West,3,Working in the UK but not working at or from home,22546
E12000008,South East,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,71
E12000008,South East,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,736
E12000008,South East,W92000004,Wales,3,Working in the UK but not working at or from home,711
E12000009,South West,-8,Does not apply,-8,Does not apply,2043506
E12000009,South West,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",2452
E12000009,South West,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",5508
E12000009,South West,E12000001,North East,3,Working in the UK but not working at or from home,195
E12000009,South West,E12000002,North West,3,Working in the UK but not working at or from home,1032
E12000009,South West,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,1015
E12000009,South West,E12000004,East Midlands,3,Working in the UK but not working at or from home,1180
E12000009,South West,E12000005,West Midlands,3,Working in the UK but not working at or from home,8844
E12000009,South West,E12000006,East of England,3,Working in the UK but not working at or from home,2630
E12000009,South West,E12000007,London,3,Working in the UK but not working at or from home,6421
E12000009,South West,E12000008,South East,3,Working in the UK but not working at or from home,37995
E12000009,South West,E12000009,South West,1,"Mainly working at or from home, No fixed place",1216482
E12000009,South West,E12000009,South West,3,Working in the UK but not working at or from home,1403421
E12000009,South West,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,52
E12000009,South West,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,645
E12000009,South West,W92000004,Wales,3,Working in the UK but not working at or from home,4464
W92000004,Wales,-8,Does not apply,-8,Does not apply,1190965
W92000004,Wales,888888888,Workplace is offshore installation,2,"Other (including offshore installation, working outside the UK)",1572
W92000004,Wales,999999999,Workplace is outside the UK,2,"Other (including offshore installation, working outside the UK)",2620
W92000004,Wales,E12000001,North East,3,Working in the UK but not working at or from home,206
W92000004,Wales,E12000002,North West,3,Working in the UK but not working at or from home,17754
W92000004,Wales,E12000003,Yorkshire and The Humber,3,Working in the UK but not working at or from home,894
W92000004,Wales,E12000004,East Midlands,3,Working in the UK but not working at or from home,848
W92000004,Wales,E12000005,West Midlands,3,Working in the UK but not working at or from home,10192
W92000004,Wales,E12000006,East of England,3,Working in the UK but not working at or from home,1282
W92000004,Wales,E12000007,London,3,Working in the UK but not working at or from home,1986
W92000004,Wales,E12000008,South East,3,Working in the UK but not working at or from home,3249
W92000004,Wales,E12000009,South West,3,Working in the UK but not working at or from home,16203
W92000004,Wales,N99999999,Does not apply: Northern Ireland,3,Working in the UK but not working at or from home,51
W92000004,Wales,S99999999,Does not apply: Scotland,3,Working in the UK but not working at or from home,525
W92000004,Wales,W92000004,Wales,1,"Mainly working at or from home, No fixed place",536725
W92000004,Wales,W92000004,Wales,3,Working in the UK but not working at or from home,774347
